Record ID,Bug ID,Source,Project,,,,,
3f0116c,58670,gcc,linux,,,,,
6833d83,10676,gcc,linux,,,,,
60bc851,52080,gcc,linux,,,,,
2fb0815,48880,gcc,linux,,,,,
7f2de81,46453,gcc,linux,,,,,
7629a9f,54983,gcc,linux,,,,,
a9468f3,48637,gcc,linux,,,,,
ba12b13,47376,gcc,linux,,,,,
45f81b1,46226,gcc,linux,,,,,
f8324e2,44631,gcc,linux,,,,,
398aa66,44492,gcc,linux,,,,,
1244829,44129,gcc,linux,,,,,
746357d,42109,gcc,linux,,,,,
a137802,28230,gcc,linux,,,,,
aa512a2,40132,gcc,linux,,,,,
f9d1425,27781,gcc,linux,,,,,
4037500,27781,gcc,linux,,,,,
e001548,10153,gcc,linux,,,,,
f940541,29413,gcc,linux,,,,,
c8d5246,25572,gcc,linux,,,,,
32818c2,23422,gcc,linux,,,,,
d6514e0,74632,llvm issues,openbsd,,,,,
27d6422,98946,gcc,openbsd,,,,,
c968ca6,47921,llvm,openbsd,,,,,
c090f20,45274,llvm,openbsd,,,,,
18b70c1,34019,llvm,openbsd,,,,,
cec5ac9,28322,gcc,openbsd,,,,,
26cf605,39219,gcc,openbsd,,,,,
8529ddd,20218,gcc,openbsd,,,,,
0ec0601,17327,gcc,openbsd,,,,,
aef8050,18300,gcc,openbsd,,,,,
bedc16d,95942,gcc,reactos,,,,,
4130f0b,53119,gcc,reactos,,,,,
2aca4b2,1180800,msvc,reactos,,,,,
70bcd0f,746534,msvc,reactos,,,,,
1bd07ee,38054,gcc,reactos,,,,,
feee728,27067,gcc,reactos,,,,,
c086cc2,17982,gcc,reactos,,,,,
c086cc2,38054,gcc,reactos,,,,,
0cc5134,17982,gcc,reactos,,,,,
0cc5134,38054,gcc,reactos,,,,,
28d278b,10153,gcc,reactos,,,,,
b670149,10153,gcc,reactos,,,,,
48a28cf,54018,llvm issues,serenity,,,,,
a06c27c,115664,gcc,serenity,,,,,
56b7f9e,64706,llvm issues,serenity,,,,,
637ccac,51182,llvm issues,serenity,,,,,
cc92c3f,97202,gcc,serenity,,,,,
cc92c3f,114784,gcc,serenity,,,,,
3b84b03,111632,gcc,serenity,,,,,
6f972c1,67260,llvm issues,serenity,,,,,
8df5bd5,109727,gcc,serenity,,,,,
00b4976,109683,gcc,serenity,,,,,
0016f63,61775,llvm issues,serenity,,,,,
fd3e3d5,102725,gcc,serenity,,,,,
1faffc2,39634,llvm,serenity,,,,,
7fb41d6,88144,gcc,serenity,,,,,
d4e48d5,92875,gcc,zephyr,,,,,
8027072,48983,llvm issues,zephyr,,,,,
0b09ca8,11740,llvm,zephyr,,,,,
deeb98d,11740,llvm,zephyr,,,,,
9602c65,10676,gcc,zephyr,,,,,
5f353e0,49653,gcc,zephyr,,,,,
03066f2,49653,gcc,zephyr,,,,,
ed9cdac,49653,gcc,zephyr,,,,,
94718c7,49653,gcc,zephyr,,,,,
0535332,1503629,msvc,reactos,,,,,
1e17fb8,11406,llvm,linux,,,,,
